id,data,canal,nota_nps,nota_csat
171,2026-07-12,email,6,5
172,2026-07-11,reclame_aqui,8,5
173,2026-02-26,email,3,3
174,2026-04-22,email,0,4
175,2026-03-28,reclame_aqui,10,4
176,2026-07-05,chat,7,2
177,2026-06-09,reclame_aqui,0,4
178,2026-06-01,reclame_aqui,10,1
179,2026-01-22,reclame_aqui,6,2
180,2026-04-29,chat,0,3
181,2026-04-08,email,3,4
182,2026-03-25,email,6,3
183,2026-07-12,email,4,1
184,2026-05-01,chat,8,1
185,2026-03-31,chat,10,1
186,2026-07-19,reclame_aqui,0,1
187,2026-03-05,chat,0,5
188,2026-02-09,chat,2,4
189,2026-06-21,chat,9,2
190,2026-04-30,reclame_aqui,4,3
191,2026-02-12,reclame_aqui,9,1
192,2026-07-19,chat,4,1
193,2026-05-29,chat,4,5
194,2026-06-23,email,6,2
195,2026-01-20,reclame_aqui,10,2
196,2026-01-27,reclame_aqui,4,5
197,2026-07-26,chat,9,1
198,2026-03-30,reclame_aqui,6,3
199,2026-01-18,reclame_aqui,10,3
200,2026-01-04,email,7,1
